0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
9.4,9.4 Confidentiality of authentication data,3,(Reference to ISO 27001: Control A.9.3.1 and A.9.4.3),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is the user subject to binding policies concerning the creation and handling of confidential authentication information?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Where authentication information is used in an IT system or application, information security critically depends on the correct use of this information (e.g. passwords, PINs). Therefore, it is essential to regularly raise user awareness regarding the correct handling of this authentication information. ",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Regulation of the handling of authentication information is created considering at least the following aspects:
    -    No disclosure of authentication information to third parties - not even persons of authority - under consideration of legal parameters
    -    no writing down or unencrypted storing of authentication information
    -    immediate changing of authentication information whenever potential compromise is suspected
    -    no use of identical authentication information for business and non-business purposes
    -    changing of temporary or initial authentication information following the 1st login
     -    requirements for the quality of authentication information (e.g. length of password, types of characters to be used).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Users are informed and made aware of the regulations (e.g. password rules).
+ The use of default passwords is technically prevented.
+ Where strong authentication is applied, the use of the medium (e.g. factor ownership) is secure.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ Means of secure retention of authentication information (e.g. password safe) are provided.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
9.5,9.5 Access to information and applications,3,(Reference to ISO 27001: Control A.9.4.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent is access to information and applications restricted to authorized persons?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Authorization shall ensure that only authorized users have access to information and IT applications. For this purpose, access rights are allocated to the user and reviewed at regular intervals.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The requirements for access to information and applications are determined.
+ An authorization policy is created including at least the following aspects:
  - procedures for request, review and approval
  - application of authorization roles
  - segregation of functions
  - application of the minimalistic („need-to-know“) principle
+ The policy is binding to all users of information and applications.
+ The access rights allocated to users and technical accounts are regularly reviewed.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,+ Authorization concepts of applications are created (e.g. ERP systems).,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ The access rights are released by the person responsible for information (internal).
+ Existing access rights are regularly reviewed (at adequate intervals, e.g. quarterly).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,"+ Functions in application systems are restricted as far as possible (e.g. export and printing).
+ Prevention of access and viewing by unauthorized persons/roles (e.g. administrators) at least on file level (e.g. encrypted data storage).",,,,,,
,,,,,,,,,
9.6,9.6 Separation of information in shared environments,3,(Reference to ISO 27017: Control CLD.9.5.1 and CLD.9.5.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent is the separation of data within an environment shared with other organizations ensured?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Cloud solutions, in particular, are characterized by enhanced standardization and a high level of virtualization on infrastructure the use of which is shared by various customers. Such a collaborative environment enables numerous cloud customers to work. In order to protect own information at all times, a clear segregation of data shall be ensured.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Effective segregation prevents access to own information by unauthorized users of other organizations.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The provider’s concept of segregation (e.g. segregation of clients) is documented and adapted to any changes. This concept should at least include the following:
 - separation of data, applications, operating system, storage and network
 - segregation of clients area and internal administration area
 - implementation of suitable security measures for multiple tenants (in multi-tenant environments)
 - risk assessment for the operation of external software within the shared environment (particularly for IaaS/PaaS services)
+ Shared virtual machines and/or application instances are hardened accordingly
 - observation of the minimalistic principle (e.g. restriction of rights, ports, protocols, software)
 - application of technical protective measures (e.g. AV, logging)",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
10,10 Cryptography,,,,,,,,4.0.0
10.1,10.1 Cryptography,3,(Reference to ISO 27001: Control A.10.1.1),1,1,,1,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are rules for encryption, including the management of cryptographic keys (complete lifecycle process) for the protection of information during storage and transport existent and have they been implemented?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Protection of the confidentiality of information during both storage and transfer (e.g. when gaining physical access to data storage devices or data transfer infrastructure) shall be ensured. This is generally achieved by means of encryption. For handling encryption, it is essential that it provides the expected security characteristics at all times without simultaneously creating inadequately high availability risks. For this purpose, reliable identification of the necessity of encryption shall be ensured. Whenever such a need is identified, procedures deemed secure according to the scientific and technical state of the art shall be selected. Additionally, it shall be ensured that the secrets (key material) are adequately protected against technical and organizational risks to confidentiality as well as integrity and availability throughout the lifecycle.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Any productively used encryption technologies shall be according to the technical state of the art.
+ The legal parameters for the use of encryption technologies are taken into account.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Creating regulations containing requirements for encryption in order to protect information according to its classification.
+ A concept for encryption is defined including at least the following specifications:
  - the level of encryption
  - the key management
  - the cryptographic algorithm
  - procedures for the complete lifecycle, such as generating, storing, archiving, retrieving, distributing, deactivating, renewing and destroying cryptographic keys
+ The encryption concept is established.
+ An emergency process for recovering key material is established.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ The following aspects shall be documented:
  - description of the key authority
  - authority regarding the management of key material in case of external processing (e.g. in the cloud)
+ Information of high protection needs should be transported or transferred in encrypted form.
  - Where encryption is not feasible, information shall be protected by similarly effective measures. ",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,"+ Information of very high protection needs are stored in encrypted form.
  - Where encryption is not feasible, information shall be protected by similarly effective measures.
+ The following shall be ensured during external processing or transfer:
  - obligatory end-to-end encryption (preferably using key material from a company internal environment).",,,,,,
,,,,,,,,,
11,11 Physical and Environmental Security,,,,,,,,4.0.0
11.1,11.1 Security zones,3,(Reference to ISO 27001: Control A.11.1.1 and A.11.1.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are secure areas for the protection of sensitive or critical information and information processing facilities defined, protected and monitored (entrance control)?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Processing of information assets outside the area affected by the measures intended for the target information security level shall be prevented. Since it is generally not possible to implement corresponding measures for all areas of the location, a zone concept is applied defining in which areas which type of information may be processed.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Requirements for the protection of affected assets are determined (see Control 8.1).
+ Security zones are specified under consideration of terrains/buildings/rooms and documented.
+ The concept of security zones is established.
+ The code of conduct for security zones is known to all persons involved.
+ The security zones are secured by adequate protective measures according to the assigned risk level. (See notes for examples).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Procedures for allocation and revocation of access rights are established.
+ Regulations regarding visitor management including registration and escorting of visitors are defined.
+ The security zones are adequately monitored (see notes for examples).
+ External properties used for storing and processing information assets are taken into account in the scope of the security concept (e.g. storage spaces, garages, workshops, test routes, data processing centres).",,,,,,
